"","text"
"2328","ease  "
"2329"," dont     load  hulu account     slow       internet connection     xbox     fine   fire tv stick takes forever  load "
"2330","amazing    entertainment "
"2331"," constantly buffering      cant watch   interruption  purchased  prime day plus   rewards  pay        paid       paid  price       money   stopped trying          streaming device    internet service    issue           devices   stream "
"2332"," didnt realize    external power source    utilize  fire stick        lines   flash drive device  singley plugged   tv   using  amazon fire stick   enjoyed  moment     definitely recommend  product    "
"2333"," love "
"2334","easy  install  operate   alexa voice commands"
"2335","   prime day purchase im  learning          addition  alexa  nice"
"2336"," love    alexa enabled         watch             "
"2337","super easy  set   easy   lots  app options available"
"2338","  stick   solid entry level device     supposed  "
"2339"," fine      bedroom television"
"2340","     tube tv"
"2341","easy  set   easy  "
"2342"," love   viewing choices  fire stick"
"2343"," product"
"2344","   nd fire tv stick  alexa     happy     love       apps    "
"2345","love  firestick  kids love    talk  alexa    weather local news etc"
"2346"," offers hours  entertainment     easy  install  activate "
"2347","amazon fire stick  amazing "
"2348","          reset      week    times twice"
"2349","awesome product   expected"
"2350"," dont    goes  sleep mode   minutes  inactivity  shouldnt   wake   fire tv  finish watching  "
"2351","availability  movies    dont "
"2352"," satisfied easy setup  product highly recommend"
"2353","     roku  voice commands  "
"2354","easy setup  flawlessly"
"2355","easy  hook   wish     capabilities"
"2356"," purchase"
"2357","easy  set "
"2358","  easy     bedroom tv"
"2359","  chromecast     okay   love  firestick   doesnt lag  recommend"
"2360",NA
"2361"," bought  fire stick   tv   arguments    watch"
"2362"," liked    day          power     past  firestick  logo  tv bought      buy  third    doesnt  "
"2363"," love  fire stick  alexa voice control  fantastic    kids"
"2364","setup  easy  usage  intuitive  ive     home    "
"2365","  love    apps    spot"
"2366"," love    movies   available using  device    little time  setup  learn         miss  local channels"
"2367","love   fire stick allows   choices  ditch cable"
"2368","plenty  options  choose "
"2369","    charmed"
"2370"," love   easy set   "
"2371"," love  fast    respond  alexaalso easy       looking forjust speak    remote"
"2372","extremely easy   switched   directv     stream tv"
"2373"," dont  "
"2374","   charm"
"2375","     apps  start buffering   probably  internet love  alexa voice control"
"2376","          picture quality        receiving  cable tv   downside    pause  movie     couple minutes  takes   time          message   internet speed   slow im clocking  mb   house    day   voice command  alexia doesnt       operator error        cant beat "
"2377"," loved "
"2378"," disappointed     mandatory upgrade    final     upload   lost  local charlotte nc channels   pur news  weather   cbs nbc abc   days   amazon day  discounts      "
"2379","    house   greati am  tech oriented        hold   button  talk   am watching tv   lol"
"2380"," love    alexa feature makes   easy       matter  streaming service      searching netflix  amazon etc         alexa    "
"2381"," product"
"2382","love "
"2383"," feel   voice feature  useless lots  channels  stream "
"2384","garbageeven trying  watch amazon prime video  piece  garbage looses internet connection half  thru    cheapest roku   time    waste  time  money   piece  garbage"
"2385","loved "
"2386","love  fire stick alexa       recommend"
"2387"," getting started   fire tv stick    "
"2388","easy  set  lots    watch  program      gotten       easy   highly recommended  leaning    closer  cutting  cable cord  "
"2389","  gift"
"2390","    firestick    pleased   ease  "
"2391","   recommend     wont load netflix      rare occasion  wont run  program    thru  tells     unable  process  title   time try        netflix site cause   stream   fine   computer    firestick  disappointing"
"2392","worth  cent"
"2393","   thete   watch  tv   run   firestick"
"2394","access  apps"
"2395","easy  install  "
"2396","thank   product"
"2397","purchased     cave  loving "
"2398","las películas  tiene   se pueden cambiar  español  títulos en español"
"2399","easy  install   running  minutes"
"2400"," excited  try     element tv  unfortunately    tv   feet    router   maddening disconnections  buffering    little device  supposed   care   issue   didnt"
"2401","easy     favorite programs  inclusive  else  buy"
"2402","fun  play "
"2403","  nowi love   "
"2404","powerful little stick"
"2405","superb       plugged  unit  set   hdmi  boom   watching  tv  thank "
"2406","    tv    tablet"
"2407","loved "
"2408"," am  pleased   fire stick"
"2409","  ni issues"
"2410"," price  product fire stick         roku"
"2411","love       vacation     easy  set "
"2412","  user  chromecast         firestick   nice upgrade       download   apps   media sources  hbo showtime etc    free access    cable account    firestick     picture    directly         downside   time    download   apps  set          setup   onetime procedure"
"2413","currently own  chromecast devices  tge fire stick  superior       pleased    watch programs  netflix  prime   smart phone  computer   easy  install  "
"2414","menu doesnt    cant connect  amazon network"
"2415","  love  remote   wasnt spending   money replacing  batteries  upsetting   spent money     device    batteries   "
"2416","  purchased   toy hauler     day   left   trip  plane    wonderful  plug   hotel tv  watch  normal tv    whatever     time  sit  commercials"
"2417","   firestick   livingroom  entertainment       bedroom"
"2418","  option"
"2419","purchased     road   semi      application"
"2420",""
"2421"," love  fire stick thank   "
"2422","easy  setup   am enjoying  added video choices   television"
"2423"," installation  connection   wifi   easy getting  amazon prime  netflix    breeze      voice remote    amazing yes  am  school    reviewing  features  options    time   am  excited  own   product  lives          read  heard"
"2424","   product   set    bit difficult    reset    factory setting abd start  scratch"
"2425"," loved     voice    request     music  movies"
"2426"," easy  install  am excited  "
"2427","     "
"2428"," device im cutting  cable  watching  channels       add  app  cbs    pay  little extra   "
"2429","     love  alexa voice remote"
"2430","   charm"
"2431",NA
"2432","   pretty cool   streaming   easy  "
"2433","supereasy setup  issue      occasionally loses connection  household network"
"2434","   tv   smart tv  easy interface  bought  "
"2435","easy set   perfect"
"2436","   awesome product    test   differences     roku     nice     using   traveling  "
"2437",""
"2438"," wifi tv stick"
"2439"," love "
"2440","   ok   youtube tv    cant believe   ban  app    people              couldnt install  particular app    useless      stuff  fine  ill stick   roku"
"2441","       internet  amazon prime"
"2442","awesome product"
"2443","easy set  nice looking interface      slightly larger remote    st gen   little remote  misplace    time   price"
"2444"," product  easy  "
"2445"," gadget  installs   easily nice     box taking  space "
"2446","excellent product  service   easy  install   daughter   happy"
"2447"," entertainment"
"2448"," able      alexa echo  "
"2449","easy    fast setup"
"2450","love "
"2451"," set    play   home theater system  fat    using   weather forecasts cooking timers    enjoy  music"
"2452"," device   kids    questions  handy friendly interactive"
"2453","beyond awesome"
"2454","    responds  time   easy  set   im  learning            speaker "
"2455","family loved "
"2456",NA
"2457","     connect  bluetooth   adapter   google  reason   stars  volume level  external speaker easy  "
"2458","echos            home     voice range    question   command   lights      favorite  play music    house"
"2459","love    time   gift   friend"
"2460","fantastic product      smart home hub   play music  speakers mainly  customizable routines   nice   easy  program"
"2461",""
"2462"," am  disappointed   productthere    bug half   time     newsflash     starts    stops  reboots   couple  minutes  goes     play  radio   times   confused     switch    lights   items   named      true   ai  natural language  beta stage     impressed"
"2463","love      kids love  "
"2464","love  makes  simple   life simpler"
"2465"," am  enjoying    features   alexa especially listening  music  audio books"
"2466","echo dot   wonderful invention  love  alexa   smart"
"2467","alarm  music information  weather"
"2468","love   helpful"
"2469","   pretty low"
"2470","alarm calendar reminders"
"2471","    echo dot    weeks  am  fun    set morning alarms check  weather  alexa play various music  bought inexpensive speakers  connect   sound  im learning  skills  little tricky  connect  wifi initially    trial  error  connected   stayed connected   super satisfied   buying    mother     office"
"2472"," am completely  love  absolutely     amazing  "
"2473","nope   lot   improved          hmmmm  dont  "
"2474"," speaker   "
"2475"," love "
"2476","rd dot love "
"2477","    "
"2478","love   alexa     "
"2479"," bought  echo dot     sale  prime day    excited       day  set   immediately    perfectly fine  set   easy  straight forward    appreciated   am terrible  technology   reason   am  satisfied   purchase        cant   echo dot     minutes   disconnecting   internet  am connected   ghz  ghz wifi links  neither    frustrating   am  getting      echo dot    wish              solution please   "
"2480","    dad  fathers day    tickled  "
"2481","nice product"
"2482","love  echo love playing music   "
"2483"," getting   alexa    shes  keeper"
"2484","          questions     doesnt      supposed   "
"2485","   friend "
"2486","absolutely love "
"2487"," liked linking      home"
"2488"," love alexa  rocks"
"2489","   trouble   echo dot        internet connection issues  doing research online      people    trouble   nd generation echo dot    weekend    trip  brought  echo dot    hotel       fine   home  internet connection     gotten   little rough patch   havent          connection issues   echo dot    probably  internet    device"
"2490"," size     sunroom"
"2491","     helful       thongs   supported  amazon"
"2492"," reached   amazon   device   sync  phone      allow           customer service couldnt help  basically told   contact sprint  assist   echo   bare minimum  access   phone  set      pointless    pay "
"2493"," wont    blue tooth speaker   tvit connects  wont "
"2494","ive        couple  weeks       hospital    time     short time       fun trying   alexa"
"2495","   impulse buy      enjoy   dot  grands love requesting songs  playing games   listening   audible selection keeping      lists  discovering  alexa skills fun  practical  echo dot    surprisingly welcome addition   home"
"2496"," product    price"
"2497"," son loves  echo dot"
"2498","love      bathroom  listen   news  showering   listen  cnn live  serius sm"
"2499","   alot  connected     play  pandora      weather  time  morning   rid    fashioned digitol clock      music play unlimited   im      vacations          comfortable   definitely worth  money"
"2500"," plays music   request"
"2501"," didnt    everytime   alexa  question     dont     havent learned "
"2502","luv      product"
"2503","     im   paranoid  person      hooked   idea  cloud based home control  yes  love  echo stuff    create  isolated vlan   home network  run  devices including  cheap ones  require   sign    questionable website  download  app  carful   people  entering  wifi password   site thats  vetted   location   app askes      try  stay  devices    directly   alexa hub   thirdparty app amazon   control   types  devices     sensitive information  handled"
"2504"," product"
"2505"," helpful  playing music setting alarms  talking      lonely"
"2506","easy  set   control kasa smart plugs      kids  figured stuff        alexa  telling jokes  singing  alexa app controls  custom spark plug   cloud cam"
"2507"," love  alexa   house  favorite features   timers alarms  music especially  library  sleep sounds    product   gift   kids   love       reading time  timing  minutes  itthe     dont        plugged    outlet  function  ifs ands  buts       minorly inconvenient     move       purchase  lol"
"2508","alarmbed time story universal"
"2509"," am  love  alexa"
"2510","  easy  set "
"2511",NA
"2512","   anticipated    awesome"
"2513"," product"
"2514","  "
"2515","    respond    comands  product"
"2516"," volume   low"
"2517","   am liking    am probably  using     capasity"
"2518","   friend im  little   times ive       alexa  google home       super amazing useful tool     play sleep sounds  sleep      amazon audible books set alarms reminders receive notifications play games     tell   short story lol  pretty fun    people complained   speaker im    im       concept house   yourself    blast music     blast   loud    rent      bedroom  perfect  dont      speaker love   "
"2519","wish volume  capable   louder"
"2520"," love "
"2521"," purchase  "
"2522"," love     dots   echo   medium size    loud   external speakers     external   dots"
"2523","  love  dots  awesome   connects      youve read   reviews   definitely lower  volume  im    connected   speaker   device        stand   volume   ok definitely    tall echo   dots dont pick  voice     tall echostill totally love    recommend "
"2524"," okay   dropping wifi"
"2525","kids love   love "
"2526",NA
"2527","love  echo dot easy    set "
"2528","love        echos"
"2529","excellent product "
"2530"," love  able  control lights doors  music"
"2531","fun  interact "
"2532"," satisfied   product"
"2533","   echos      barn  idea    am    horse    news flashes   music"
"2534"," bought    healing    play continuous spa  music  alexa   type  music   device   deliver quality sound  sounds muffled   didnt     buy speakers "
"2535","   music    am"
"2536","hard  hear   blue tooth     speaker"
"2537","    expected     speaker"
"2538"," love            soon"
"2539","      echo"
"2540","   nd echo dot                 bedroom   par     blue tooth speaker   nite    sleep  sounds   thunderstorm  provided   echo dot   am planning    dot   bedroom lamps    receive  smart plugs   "
"2541","daughter   white boombox      yr   decided   echo dot    request  white bt  speaker   loved  gift  nice option      internet"
"2542","cheap  cheap sound"
"2543","  pretty cool"
"2544"," times alexa   little  thick    "
"2545","love  dont            dont    didnt    amazon prime day"
"2546"," dated news"
"2547","   champ"
"2548"," sound  alarm clock plays  music   else      oh yeah      "
"2549","love      cell phone  call echo  dot     echo  dot  intercoms"
"2550","love itjust      own"
"2551"," price   love  echo dot"
"2552","excellent bought   yesterday"
"2553"," "
"2554","love   daughter enjoys telling alexa    haha"
"2555","purchased    discount  prime day  insert   portable bluetooth speaker  specifically    echo dot   love     bring alexa  onto  patio         music    rd echo product   love "
"2556","   third  love "
"2557"," ease  installing"
"2558","un excelente equipo inteligente al estar conectado al internet nos provee de múltiples funciones tales como el tiempohorainformación de cualquier estudio que estés realizando atrás vez del internet"
"2559","  price  product  nice quality     nice features  definitely  complaints   reason       stars    echo dot                buyer error   didnt    product    plugged    times      dont      stand  device   speaker    loud     buying    bluetooth speaker dont lastly im   echo dot    lot   havent  figured               unnecessary device  own plus setting    awful   definitely save  money  buy  nicer    actually alexa"
"2560"," love  product             itsuch  set  timer  reminder play music  games  dont       enjoyment       purchase        difficult  set   directions   sound  simple       forgot  step  five  six    ready  send  backthe app  extremely slow    hours     set   depending        using       ok item"
"2561","love  echo dot  amaxing"
"2562","      listening  podcasts     set   greeting   morning  tell  whats       dont   getting   recognize  radio station    listen    finally          bugs"
"2563","    sister  echo    slightly  audio fidelity   lower price  amazon prime dayused     add alexa   additional "
"2564","      guy "
"2565"," product  understands  accent"
"2566","love  cant stop using "
"2567","   availability   instant music throughout  house"
"2568",NA
"2569"," handy   kitchen sets timer    extra help  setting oven temps"
"2570","cool little speakeri love  alarms  connected    speakers   sounds "
"2571","    tool helping  information"
"2572"," twice  "
"2573","awesome piece  technology   simplified  life  purchase"
"2574"," jumped   bandwagon  purchasing  echo   feel     struggle getting connected    days   device  sharing news  weather          tapped    options   testing  "
"2575","love alexa love  echo dot    trouble   speakers  using  intercom"
"2576","love          correct smart linksplug  connect  "
"2577"," pretty "
"2578"," learning "
"2579","  love  echo dot    questions answered    play  music    "
"2580","usual reliable alexa"
"2581","speaker    qualty"
"2582"," device   interact   home filled  apple devices   disappointing"
"2583","  echo           "
"2584","love     handy  easy       classroom         "
"2585"," pleased"
"2586","primarily  music   bedroom   wish  speaker   fidelity"
"2587","nice"
"2588","music weather time"
"2589"," love "
"2590","   happy  speaker isnt     reason  lot  times   play music   start    weird noise   stop  son   google home     "
"2591"," impressed"
"2592","    "
"2593"," takes    learn    im  learning"
"2594","alexa  phenomenal"
"2595","       doesnt   play music answer stupid questions finally   able  hook   thermostat     price  dropping   rock"
"2596"," echo dot nd generation smart speaker   compound  size    projects   sound     port     connect  external speaker    projection  sound     size    awkward   doesnt    lot  space      alexa app     size    college students  live  dorm    limited spacing"
"2597","   echo dot      home    downstairs  control lighting        deck  stream music   bluetooth speaker       "
"2598","   echo    dot   bedroom    easier  set    original echo"
"2599","makes        house  simple   little updates    checking  weather  "
"2600"," product fun  "
"2601","   smarter"
"2602","  enjoy  able     request    favorite music   happens    complaints   time"
"2603","love      home  smarthome"
"2604","    echo dot  amazing   able  set  alarm  timer   talking   echo dot"
"2605","convenient  fun"
"2606"," alright"
"2607","    alexa enabled device     lived    reputation"
"2608"," love searching  alexa skill shop   app useful    alexa   lights    listening  news updates  morning  fun stuff  telling alexa    star trek red alert nois  playing song quiz  friends"
"2609"," dot"
"2610","son loves "
"2611"," love  compact  "
"2612","      months   stopped connecting   internet wifi  none   trouble shooting efforts   amazon customer service couldnt help   told  warranty    months    disappointing   werent willing  replace"
"2613"," talks   plays  type  music    listen          "
"2614","   play motown radio  pandora         add  salsa station motown isnt close  salsa phonetically"
"2615","love     learning  capabilities   lot  fun"
"2616","easy  set   trying     connect   light bulb smart plug grandkids  alex  cool"
"2617"," love            daily routine"
"2618"," alexa program     quality       definitely  louder"
"2619","overall     siri   phone          dont   smart home  dont intend       fun      music     read   audible books"
"2620","alexa  pretty basic     toy shouldnt   released   market  proper development speech recognition fails  understand basic american  british accentthe music   play   restrictive speech isnt refined      understand    human  speaking linking  youtube via amazon web services doesnt "
"2621","set    easy"
"2622","love "
"2623","im amazed   alarm  tell alexa  wake     particular song      love  play list  music     dont  prime  music    available    love   amazon   music free   monthsthey    prime free   months  "
"2624"," love           play    learn  "
"2625"," debating  getting   am happy      explore thanks"
"2626","im finding         time    informed  news  weather     daily bible verse    play music  skills  added   time  future  "
"2627"," love  watch  wife argue  alexa   woke   night listening  alexa talking   cell phone "
"2628",NA
"2629",NA
"2630","   gift   loved "
"2631"," echo dot     expected  "
"2632"," love   super convenient  makes  life  little easier"
"2633"," love  echo dot   features   greatthe    dont       cant play  imusic   im     pay   spotify  amazon music account"
"2634","  lots  fun"
"2635","easy setup alexa   lot  training"
"2636","third echo dot purchased love  product"
"2637","   compact structure   dot  sound   little  low"
"2638","handy   dont expect      dumber   assistant   phone"
"2639"," easy  set       features  skills added   time"
"2640","love  product  dislike   cant sync   apple music  alexa  play"
"2641","     week          blast  "
"2642","love "
"2643","   charm"
"2644"," speaker  bedroom  office"
"2645"," speaker tin sound    bluetooth speaker"
"2646","fun   information   dislikes       convenience"
"2647","  easy  set   affordable love "
"2648"," love    shut  microphone   night   children cant talk    bed time     automatic sleep timer   lullaby music     survived      "
"2649","echo dot  related devices          time"
"2650"," sound quality wasnt     inexpensive"
"2651","  bought    shop       intercom   house"
"2652"," isnt bad      issues   actually playing    getting   iheartradio properly  playing  station     challenge    bad   sale price  paid"
"2653","   sound quality   low"
"2654"," love "
"2655","  easy  set "
"2656","  ok  speaker quality       iphone    spend  extra money    fullsize echo    sound quality"
"2657"," intelligent love  songs "
"2658","review"
"2659"," love  echo dot   price  paid  prime day  comparable  buying   digital clock   bells  whistles          play music set alarms call friends play games set timersthe list goes     definitely worth  money"
"2660","sound  terrible  pair  echo  play simultaneously   upgrade  amazon music     play    device   time"
"2661","easy installation  set   sound   echo dot smart speaker  satisified  purchase"
"2662"," am spoiled   downstairsso     upstairs  listen  music  etc   walked   treadmill"
"2663",NA
"2664"," commands alexa requires   specific    google home     flexible  figuring   im  "
"2665","handy  hell  recommend"
"2666"," am  real difficulty    echo dot alexi    smart     questions        im     half  time  am    question  alexi  saying  im     music                 frustrating experience"
"2667","     discovery phase      enjoying  smart home features   installed"
"2668","totally   sense  humour"
"2669","     bedroom   plays music  tells   weather      alarm  wake     morning       clock radio    play  type  music    radio stations   own favorites     tell jokes   dont           amazing"
"2670","   echo      dot      lot  music  audio booksthe sound quality    echo   near  quality    sized model   havent decided  ill    "
"2671","love       boyfriend   birthday   kids   blast  alexa  kinds  questions    tell silly jokes  love "
"2672"," sound"
"2673","    nd echo   house     regular echo   echo dot  easy  set    sound   enjoyable wishing     gone   regular echo solely based  sound"
"2674","   happy   original echo    id   echo dot     bedroom    disappointed   audio quality   connected  external speaker via bluetooth  audio      started     loosing connection   wifi presumably due  interference   bluetooth    connected  speaker via  auxiliary jack      auxiliary jack picked  interference   wifi    woken    middle   night   horrible buzzing sound im hoping amazon           deal   echo spot   hope     nightstand device"
"2675","listens      expected love "
"2676","   testing             hesitant  putting  voice activated device   home       unfortunately  sometimes   wifi light bulbs mixed   wont     weve  able  manage  fix   mean  convenient especially   unable  reach    lights  electronics    hook    dot      plays music   reminders alarms etc  im   getting          listening "
"2677"," greathaving fun playing musicchecking weathera king questions"
"2678"," convenient  dependable  dot   cutie  alexa   job  askmy  issue   fidelity     expected      speaker"
"2679","alexa  perfect  people   living        talk     sanity    wish    powerful speaker     connect   bluetooth speakers"
"2680"," footprint  nice clarity"
"2681","easy set "
"2682"," addition   alexa base using    guest bedroom  music clock  infodot speaker    strong   base     value"
"2683","   alexia built   thermostat   didnt        standing        hear   music played  choppy    decided  try  echo dot     prime day     disappointed  hears   fine  music plays           bluetooth connect   bose speaker  quality sound"
"2684"," connected     home sound system  play prime music   google home mini cant     "
"2685","    fun  play       set  alarm  wake   morning    goes   tell alexa      alexa learns   questions     play music      play    amazon music domain   wake    middle   night         light    alexa  time       current weather  tells         city   call  friend   dial   havent              contacts"
"2686","easy  set       poster despite   size  speakers  adequate understands instructions      happy   purchase"
"2687","  product   price  "
"2688","perfect   home office"
"2689","weak sound compared   google home mini  sound  bad    prime     selection  music   prime music  play         prime family music  play music      lame     family plan   multiple devices"
"2690","    suppose    product"
"2691"," love  item   able  hear    music   enjoyed       "
"2692","love  dot"
"2693"," item  im  glad    purchase   prime day"
"2694","im  learning       figured    read  kindle books      real bonus"
"2695","love     bedroom    kitchen   drop   family   house"
"2696","       tech savvy  im  trying  figure           easy  set     easy    lots  apps          play       fun  "
"2697","echo dot responds     arent  talking   ive unplugged   feels    spying   "
"2698"," connected   phone playlist "
"2699","      awhile  finally    buying      home  wife  legally blind     computer     godsend     amazon music       listen  music check  weather  phone   calls etc etc    learning   tell    absolutely amazing  purchased     extended family   grandchildren absolutely love playing  music  alexa   wifi  direct cable capability  speakerstereo options     choosing    worth  money  wont regret   "
"2700","perfect  fast shipment  packaging    intended"
"2701","alexa    dumber   useful   time"
"2702","love "
"2703","im addicted   "
"2704"," love  dot  am hoping  add  couple    apartment   reason  didnt    stars    wish  speaker     little    amazon probably    costs    item      play music   apartment   am busy doing       added  speaker    little  wattage  bass response          bathroom  kitchen       lot  space    sized echo     willing  pay    dollars       speaker oh          love  im        bluetooth speaker  sounds   doesnt     lot  space"
"2705","  alli     love "
"2706","love  dots  easy       plus  echo spot     favorite features   ability  listen  music  amazon iheart radio pandora"
"2707","  play music throughout  house   easily fits   decor   home"
"2708","im obsessed  alexa  tells   weather  morning   play games  love  guess  song       upstairs     tv downstairs    cool   walk   stairs  alexa     "
"2709","   disappointed   speaker quality  hooked     computer speakers"
"2710","easy setup easy     smart products  learning    "
"2711","    fun     easy         loves talking  alexa"
"2712"," love   echo dot    mainly    play music  night     job "
"2713"," love    wish    gotten  sooner         settings  lock      kids      additional   unexpected   helping  kids  homework   loads  skills  am  happy   purchase especially      prime day   half price"
"2714","super easy  hook   program    music feature     love    set reminders   phone   echo  remind    set time     news updates "
"2715","      dots"
"2716","set   simple  recognizes  voice   seams  intuitive  am enjoying  ease  "
"2717","  negative     product   terrible sound quality   massive difference   alexa        reason    purchase thiswont  buying    speaker  sound quality  improve"
"2718","  hoping  cord  white  otherwise   fine"
"2719","      ability   multiple    create    list set  alarm play  song         wish  sound    tad louder"
"2720"," soon im  learning      "
"2721","enjoying    learning   commands  ran   frustrating issue     user friendly  trying  set  voice recognition   household"
"2722"," love  option    play music    house    multiple devices"
"2723"," "
"2724","   "
"2725","amazing   helped    organized   traffic updates weather updates  helps  maintain   fast morning routine"
"2726"," kids love alexa skills  amazing        little smarter answering basic questions"
"2727"," definitely   little         cant  regret    love   hooked    speakers via bluetooth  waking    smiths"
"2728","love  added    upstairs bedroom"
"2729","  love alexa      house"
"2730","   easy  set "
"2731"," rd echo device  easy  set   perfectly"
"2732","easy  set   start using   advertised"
"2733",NA
"2734","love  little dot  dont    original larger alexa     dot      pleased   dots capabilities"
"2735","  "
"2736","  expected    fourth   son loves     easy  set  alarm    play music  "
"2737","love "
"2738","dislike  volume    sound loud "
"2739","love alexa   own       gift    huge hit"
"2740"," expected"
"2741"," didnt  "
"2742"," love  technology im      easy  set       dot   bedroom         echo      living "
"2743","   rd dot bought   husband   able  contact    falls  doesnt  access  phone"
"2744","amazing product  learnimg      "
"2745","   expected  "
"2746"," product sounded     emoji speaker  five below  sister        bluetooth  doesnt    plugged            speak  "
"2747","   friend "
"2748"," easier     "
"2749"," device"
"2750","overall love      commands  arent effective     user error  alexa becoming accustom     "
"2751","  additional alexa based devices   access        homes   trying  shout questions  instructions    house lol  wouldnt   alexa   variety  functions   performs"
"2752","  love     play   music     devices"
"2753"," love            im addicted"
"2754"," beautifully excellent sound"
"2755"," learning           volume  pretty    additional speaker"
"2756","neat tool  enjoy    family"
"2757","easy  connect   skills created   echo nd gen  fine   dot"
"2758"," live      companion"
"2759","easy  set   connect  smart devices    "
"2760","love   personally prefer spotify music       able  set   default theres   day  goes   music   home   reason        pup calm   leave   tell alexa  play  classical music  jazz    wonders hes  lot  calmer  doesnt bark   lock  door  start walking     "
"2761","love       alexa         getting   day  im   expert     sound quality  fine   perfect  "
"2762","     echo  purchase   price   cheap  im seriously thinking  buying       alexa            internet  "
"2763"," love  bought    daughter    "
"2764",NA
"2765","     loud        "
"2766"," enjoy   discovering  "
"2767"," able  add speakers   plus      deck   am outside  love      alexia   bedroom"
"2768","excellent device        concerns"
"2769"," pretty fun  nice    speaker  responds   questions  doesnt understand  commands    time"
"2770",NA
"2771","   hands free operation vs  tap     controlling smart plugs"
"2772"," dislike   confuses  requests   time"
"2773",NA
"2774","love  alexa actually   throughout  house favorite function  lists   time management   course music"
"2775"," product  easy     entertaining      hook     tv  lights  look forward  doing "
"2776",NA
"2777","   speaker      music      bluetooth speaker"
"2778","outstanding product  easy     "
"2779","  six   throughout  home        times  music  talking happens randomly     sensitive listening      options  change  name   engagement command  alexa    computer    little annoying   colors  black  white      "
"2780","  product  music   "
"2781","easy  setup   "
"2782","  "
"2783","    alexa devices   house   sales price  amazon prime day   tempting"
"2784","phenomenal"
"2785"," loved   exactly   "
"2786","    control  smart home devices  "
"2787"," convenient"
"2788","este producto llegó   la semana se quedó sin olor perdió toda su escencia huele solo  alcohol"
"2789","easy  set  ready    minutes"
"2790","barry"
"2791",NA
"2792","    loves     doing basic household tasks     add   smart outlets  bulbs"
"2793","awesome device wish  bought  ages ago"
"2794","love "
"2795","perfect  kids adults    "
"2796","listening  music searching locations checking time looking  weather     task  learn   simple  set "
"2797","  love      running  entire home tv   lights  thermostat  front door dead bolt  cameras   love listening  npr     worth  value    shine   stat adding smart devices    control  entire home      star trek  named mine computer    feel   amazing       devices  smart systems"
"2798"," complaint      sound quality isnt       commands      dot hooked    stereo system  play music     couple friends    dot  dont mind  audio quality   youre bothered      id     size echo     hook      larger speakers"
"2799",""
"2800","nice little unit   issues"
"2801"," echo dot  easy  set     helps provide music etc   spaces       looking "
"2802"," set    play   home theater system  fat    using   weather forecasts cooking timers    enjoy  music"
"2803"," device   kids    questions  handy friendly interactive"
"2804","beyond awesome"
"2805","    responds  time   easy  set   im  learning            speaker "
"2806","family loved "
"2807",NA
"2808","     connect  bluetooth   adapter   google  reason   stars  volume level  external speaker easy  "
"2809","echos            home     voice range    question   command   lights      favorite  play music    house"
"2810","love    time   gift   friend"
"2811","fantastic product      smart home hub   play music  speakers mainly  customizable routines   nice   easy  program"
"2812",""
"2813"," am  disappointed   productthere    bug half   time     newsflash     starts    stops  reboots   couple  minutes  goes     play  radio   times   confused     switch    lights   items   named      true   ai  natural language  beta stage     impressed"
"2814","love      kids love  "
"2815","love  makes  simple   life simpler"
"2816"," am  enjoying    features   alexa especially listening  music  audio books"
"2817","echo dot   wonderful invention  love  alexa   smart"
"2818","alarm  music information  weather"
"2819","love   helpful"
"2820","   pretty low"
"2821","alarm calendar reminders"
"2822","    echo dot    weeks  am  fun    set morning alarms check  weather  alexa play various music  bought inexpensive speakers  connect   sound  im learning  skills  little tricky  connect  wifi initially    trial  error  connected   stayed connected   super satisfied   buying    mother     office"
"2823"," am completely  love  absolutely     amazing  "
"2824","nope   lot   improved          hmmmm  dont  "
"2825"," speaker   "
"2826"," love "
"2827","rd dot love "
"2828","    "
"2829","love   alexa     "
"2830"," bought  echo dot     sale  prime day    excited       day  set   immediately    perfectly fine  set   easy  straight forward    appreciated   am terrible  technology   reason   am  satisfied   purchase        cant   echo dot     minutes   disconnecting   internet  am connected   ghz  ghz wifi links  neither    frustrating   am  getting      echo dot    wish              solution please   "
"2831","    dad  fathers day    tickled  "
"2832","nice product"
"2833","love  echo love playing music   "
"2834"," getting   alexa    shes  keeper"
"2835","          questions     doesnt      supposed   "
"2836","   friend "
"2837","absolutely love "
"2838"," liked linking      home"
"2839"," love alexa  rocks"
"2840","   trouble   echo dot        internet connection issues  doing research online      people    trouble   nd generation echo dot    weekend    trip  brought  echo dot    hotel       fine   home  internet connection     gotten   little rough patch   havent          connection issues   echo dot    probably  internet    device"
"2841"," size     sunroom"
"2842","     helful       thongs   supported  amazon"
"2843"," reached   amazon   device   sync  phone      allow           customer service couldnt help  basically told   contact sprint  assist   echo   bare minimum  access   phone  set      pointless    pay "
"2844"," wont    blue tooth speaker   tvit connects  wont "
"2845","ive        couple  weeks       hospital    time     short time       fun trying   alexa"
"2846","   impulse buy      enjoy   dot  grands love requesting songs  playing games   listening   audible selection keeping      lists  discovering  alexa skills fun  practical  echo dot    surprisingly welcome addition   home"
"2847"," product    price"
"2848"," son loves  echo dot"
"2849","love      bathroom  listen   news  showering   listen  cnn live  serius sm"
"2850","   alot  connected     play  pandora      weather  time  morning   rid    fashioned digitol clock      music play unlimited   im      vacations          comfortable   definitely worth  money"
"2851"," plays music   request"
"2852"," didnt    everytime   alexa  question     dont     havent learned "
